Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2,Nuevas Completas D-3,Nuevas Parciales D-3,Nuevas Completas D-4,Nuevas Parciales D-4,Nuevas Completas D-5,Nuevas Parciales D-5,Nuevas Completas D-6,Nuevas Parciales D-6,Nuevas Completas D-7,Nuevas Parciales D-7,Nuevas Completas D-8,Nuevas Parciales D-8,Nuevas Completas D-9,Nuevas Parciales D-9
CEIP PRÍNCIPE DE ASTURIAS,Primaria,312545,49,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2
CEIP PRÍNCIPE DE ASTURIAS,Secundaria,679315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP PRÍNCIPE DE ASTURIAS,Profesorado,912212,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
CPEIPS SANTA MARÍA IKASTETXEA,Primaria,473599,185,158,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,27
CPEIPS SANTA MARÍA IKASTETXEA,Secundaria,583423,112,82,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,30
CPEIPS SANTA MARÍA IKASTETXEA,Profesorado,323896,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
IES Botikazar BHI,Primaria,322275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES Botikazar BHI,Secundaria,781826,396,303,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,93
IES Botikazar BHI,Profesorado,487662,25,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21
CRA ALCIARES,Primaria,521585,50,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22
